season,team,position,full_name,birth_date,years_exp,college
2002,DET,T,Kerlin Blaise,1974-12-25,4.0,
2002,BLT,QB,Jeff Blake,1970-12-04,10.0,
2002,BUF,QB,Drew Bledsoe,1972-02-14,9.0,
2002,SL,CB,Dre' Bly,1977-05-22,3.0,
2002,ATL,CB,Juran Bolden,1974-06-27,6.0,
2002,CHI,WR,Marty Booker,1976-07-31,3.0,
2002,CIN,DE,Vaughn Booker,1968-02-24,8.0,
2002,HST,T,Tony Boselli,1972-04-17,7.0,
2002,BUF,CB,Jason Bostic,1976-06-30,3.0,
2002,ARZ,WR,David Boston,1978-08-19,3.0,
2002,BLT,OLB,Peter Boulware,1974-12-18,5.0,
2002,MIN,QB,Todd Bouman,1972-08-01,5.0,
2002,MIA,DE,David Bowens,1977-07-03,3.0,
2002,MIA,DT,Tim Bowens,1973-02-07,8.0,
2002,CLV,MLB,Brant Boyer,1971-06-27,8.0,
2002,JAX,DE,Tony Brackens,1974-12-26,6.0,
2002,HST,WR,Corey Bradford,1975-12-08,4.0,
2002,MIN,FS,Ronnie Bradford,1970-10-01,9.0,
2002,JAX,TE,Kyle Brady,1972-01-14,7.0,
2002,CIN,C,Rich Braham,1970-11-06,8.0,
2002,IND,DE,Chad Bratzke,1971-09-15,8.0,
2002,MIN,K,Doug Brien,1970-11-24,8.0,
2002,SL,OLB,O.J. Brigance,1969-09-29,6.0,
2002,OAK,TE,Jeremy Brigham,1975-03-22,4.0,
2002,DEN,T,Blake Brockermeyer,1973-04-11,7.0,
2002,MIN,DE,Lorenzo Bromell,1975-09-23,4.0,
2002,SF,FS,Zack Bronson,1974-01-28,5.0,
2002,ATL,MLB,Keith Brooking,1975-10-30,4.0,
2002,NO,QB,Aaron Brooks,1976-03-24,3.0,
2002,NYG,T,Barrett Brooks,1972-05-05,7.0,
2002,JAX,MLB,Bobby Brooks,1976-03-03,3.0,
2002,TB,OLB,Derrick Brooks,1973-04-18,7.0,
2002,BLT,T,Ethan Brooks,1972-04-27,6.0,
2002,SEA,OLB,Chad Brown,1970-07-12,9.0,
2002,BLT,OLB,Cornell Brown,1975-03-15,5.0,
2002,HST,SS,Eric Brown,1975-03-20,4.0,
2002,NO,CB,Fakhir Brown,1977-09-21,3.0,
2002,GB,NT,Gilbert Brown,1971-02-22,9.0,
2002,HST,K,Kris Brown,1976-12-23,3.0,
2002,TB,T,Lomas Brown,1963-03-30,17.0,
2002,DET,G,Ray Brown,1962-12-12,16.0,
2002,BUF,G,Ruben Brown,1972-02-13,7.0,
2002,OAK,WR,Tim Brown,1966-07-22,14.0,
2002,NE,WR,Troy Brown,1971-07-02,9.0,
2002,WAS,C,Wilbert Brown,1977-05-09,3.0,
2002,KC,DT,John Browning,1973-09-30,6.0,
2002,SL,WR,Isaac Bruce,1972-11-10,8.0,
2002,PIT,TE,Mark Bruener,1972-09-16,7.0,
2002,JAX,QB,Mark Brunell,1970-09-17,9.0,
2002,NE,MLB,Tedy Bruschi,1973-06-09,6.0,
2002,JAX,CB,Fernando Bryant,1977-03-26,3.0,
2002,OAK,DE,Tony Bryant,1976-09-03,3.0,
2002,BUF,RB,Shawn Bryson,1976-11-30,3.0,
2002,PHI,G,Doug Brzezinski,1976-03-11,3.0,
2002,ATL,CB,Ray Buchanan,1971-09-29,9.0,
2002,NE,CB,Terrell Buckley,1971-06-07,10.0,
2002,CAR,DT,Brentson Buckner,1971-09-30,8.0,
2002,ARZ,DE,Tom Burke,1976-10-12,3.0,
2002,MIA,DE,Rob Burnett,1967-08-27,12.0,
2002,DEN,MLB,Keith Burns,1972-05-16,8.0,
2002,CIN,CB,Jeff Burris,1972-06-07,8.0,
2002,SL,DE,John Burrough,1972-05-17,7.0,
2002,CAR,DT,Shane Burton,1974-01-18,6.0,
2002,CLV,FS,Devin Bush,1973-07-03,7.0,
2002,KC,OLB,Lewis Bush,1969-12-02,9.0,
2002,ARZ,TE,Steve Bush,1974-07-04,5.0,
2002,CAR,WR,Isaac Byrd,1974-11-16,5.0,
2002,KC,OLB,Glenn Cadrez,1970-01-02,10.0,
2002,CHI,OLB,Mike Caldwell,1971-08-31,9.0,
2002,NYG,TE,Dan Campbell,1976-04-13,3.0,
2002,DET,FS,LaMar Campbell,1976-08-29,4.0,
2002,CLV,TE,Mark Campbell,1975-12-06,3.0,
2002,IND,DT,James Cannida,1975-01-03,4.0,
2002,NO,K,John Carney,1964-04-20,15.0,
2002,ATL,FS,Keion Carpenter,1977-10-31,3.0,
2002,DEN,TE,Dwayne Carswell,1972-01-18,8.0,
2002,GB,FB,Antonio Carter,1972-08-23,8.0,
2002,HST,FS,Chris Carter,1974-09-27,5.0,
2002,MIA,WR,Cris Carter,1965-11-25,15.0,
2002,NO,CB,Dale Carter,1969-11-28,10.0,
2002,TEN,DE,Kevin Carter,1973-09-21,7.0,
2002,ATL,SS,Johndale Carty,1977-08-27,3.0,
2002,BUF,FB,Larry Centers,1968-06-01,12.0,
2002,MIN,TE,Matt Cercone,1975-11-30,3.0,
2002,MIN,TE,Byron Chamberlain,1971-10-17,7.0,
2002,CHI,QB,Chris Chandler,1965-10-12,14.0,
2002,CLV,T,Roger Chanoine,1976-09-11,4.0,
2002,NO,DT,Martin Chase,1974-12-19,4.0,
2002,NE,OLB,Matt Chatham,1977-06-28,3.0,
2002,MIN,CB,Corey Chavous,1976-01-05,4.0,
2002,NE,SS,Je'Rod Cherry,1973-05-30,6.0,
2002,MIA,DT,Larry Chester,1975-10-17,4.0,
2002,ATL,WR,Darrin Chiaverini,1977-10-12,3.0,
2002,NYJ,WR,Wayne Chrebet,1973-08-14,7.0,
2002,ATL,FB,Bob Christian,1968-11-14,11.0,
2002,SD,K,Steve Christie,1967-11-13,12.0,
2002,TB,C,Jeff Christy,1969-02-03,10.0,
2002,DET,MLB,Chris Claiborne,1978-07-26,3.0,
2002,MIA,TE,Desmond Clark,1977-04-20,3.0,
2002,NE,TE,Cameron Cleeland,1975-08-15,4.0,
2002,ARZ,T,Anthony Clement,1976-04-10,4.0,
2002,NO,MLB,Charlie Clemons,1972-07-04,5.0,
2002,KC,DE,Duane Clemons,1974-05-23,6.0,
2002,KC,RB,Michael Cloud,1975-07-01,3.0,
2002,TEN,FS,Richard Coady,1976-01-26,3.0,
2002,DAL,OLB,Dexter Coakley,1972-10-20,5.0,
2002,SEA,DE,Antonio Cochran,1976-06-21,3.0,
2002,NE,WR,Fred Coleman,1975-01-31,4.0,
2002,JAX,DE,Marco Coleman,1969-12-18,10.0,
2002,HST,CB,Marcus Coleman,1974-05-24,6.0,
2002,OAK,DT,Roderick Coleman,1976-08-16,3.0,
2002,JAX,DE,Stalin Colinet,1974-07-17,5.0,
2002,NYG,QB,Kerry Collins,1972-12-30,7.0,
2002,OAK,G,Mo Collins,1976-09-22,4.0,
2002,KC,QB,Todd Collins,1971-11-05,7.0,
2002,CHI,OLB,Rosevelt Colvin,1977-09-05,3.0,
2002,TEN,FB,Greg Comella,1975-07-29,4.0,
2002,NE,C,Mike Compton,1970-09-18,9.0,
2002,BUF,C,Billy Conaty,1973-03-08,5.0,
2002,WAS,K,Brett Conway,1975-03-08,5.0,
2002,SD,WR,Curtis Conway,1971-01-13,9.0,
2002,SL,TE,Ernie Conwell,1972-08-17,6.0,
2002,PHI,FS,Rashard Cook,1977-04-18,3.0,
2002,WAS,K,Jose Cortez,1975-05-27,3.0,
2002,SL,FS,Chad Cota,1971-08-08,7.0,
2002,CLV,QB,Tim Couch,1977-07-31,3.0,
2002,CAR,CB,Terry Cousin,1975-04-11,5.0,
2002,SL,QB,Scott Covington,1976-01-17,3.0,
2002,NYJ,OLB,Sam Cowart,1975-02-26,4.0,
2002,NO,MLB,Bryan Cox,1968-02-17,11.0,
2002,JAX,CB,Jason Craft,1976-02-13,3.0,
2002,MIN,OLB,Henri Crockett,1974-10-28,5.0,
2002,KC,CB,Ray Crockett,1967-01-05,13.0,
2002,OAK,FB,Zack Crockett,1972-12-02,7.0,
2002,IND,CB,Cliff Crosby,1974-09-17,3.0,
2002,DET,WR,Germane Crowell,1976-09-13,4.0,
2002,MIN,QB,Daunte Culpepper,1977-01-28,3.0,
2002,JAX,K,Richie Cunningham,1970-08-18,8.0,
2002,CIN,OLB,Canute Curtis,1974-08-04,5.0,
2002,PIT,TE,Matt Cushing,1975-07-02,4.0,
2002,DEN,DT,Lional Dalton,1975-02-21,4.0,
2002,CHI,DE,Phillip Daniels,1973-03-04,6.0,
2002,TB,DT,Chuck Darby,1975-10-22,4.0,
2002,JAX,SS,Donovin Darius,1975-08-12,4.0,
2002,NYJ,OLB,James Darling,1974-12-29,5.0,
2002,SL,OLB,Don Davis,1972-12-17,7.0,
2002,DET,CB,Eric Davis,1968-01-26,12.0,
2002,SF,DE,Jerome Davis,1974-03-04,5.0,
2002,CHI,TE,John Davis,1973-05-14,8.0,
2002,GB,C,Rob Davis,1968-12-10,9.0,
2002,ARZ,DT,Russell Davis,1975-03-28,3.0,
2002,WAS,RB,Stephen Davis,1974-03-01,6.0,
2002,GB,TE,Tyrone Davis,1972-06-30,7.0,
2002,PHI,FS,Brian Dawkins,1973-10-13,6.0,
2002,CLV,K,Phil Dawson,1975-01-23,4.0,Texas
2002,NYJ,TE,James Dearth,1976-01-22,3.0,
2002,SF,T,Derrick Deese,1970-05-17,10.0,
2002,NO,QB,Jake Delhomme,1975-01-10,5.0,
2002,DET,RB,Autry Denson,1976-12-08,3.0,
2002,PHI,QB,Koy Detmer,1973-07-05,5.0,
2002,DET,QB,Ty Detmer,1967-10-30,10.0,
2002,DET,DE,Jared DeVries,1976-06-11,3.0,
2002,TEN,C,Gennaro DiNapoli,1975-05-25,4.0,
2002,SEA,QB,Trent Dilfer,1972-03-13,8.0,
2002,TB,TE,Ken Dilger,1971-02-02,7.0,
2002,CIN,RB,Corey Dillon,1974-10-24,5.0,
2002,SD,DE,Adrian Dingle,1977-06-25,3.0,
2002,ARZ,G,Chris Dishman,1974-02-27,5.0,
2002,MIN,G,David Dixon,1969-01-05,10.0,
2002,MIA,T,Mark Dixon,1970-11-26,8.0,
2002,WAS,WR,Chris Doering,1973-05-19,6.0,
2002,CHI,C,Kevin Dogins,1972-12-07,6.0,
2002,CAR,G,Kevin Donnalley,1968-06-10,11.0,
2002,OAK,SS,Anthony Dorsett,1973-09-14,6.0,
2002,GB,T,Earl Dotson,1970-12-17,9.0,
2002,PHI,WR,Dameane Douglas,1976-03-15,3.0,
2002,JAX,WR,Henry Douglas,1977-03-03,3.0,
2002,PHI,DE,Hugh Douglas,1971-08-23,7.0,
2002,BLT,DE,Marques Douglas,1977-03-15,3.0,
2002,WAS,C,Pat Downey,1974-06-21,4.0,
2002,ATL,MLB,Chris Draft,1976-02-26,4.0,
2002,GB,WR,Donald Driver,1975-02-02,3.0,
2002,TB,TE,Rickey Dudley,1972-07-15,6.0,
2002,SL,MLB,Jamie Duncan,1975-07-20,4.0,
2002,KC,TE,Jason Dunn,1973-11-15,6.0,
2002,ATL,RB,Warrick Dunn,1975-01-05,5.0,
2002,SD,WR,Tim Dwight,1975-07-13,4.0,
2002,TEN,WR,Kevin Dyson,1975-06-23,4.0,
2002,MIN,C,Michael Early,1977-06-02,3.0,
2002,SEA,DT,Chad Eaton,1972-04-06,7.0,
2002,GB,SS,Antuan Edwards,1977-05-26,3.0,
2002,SD,MLB,Donnie Edwards,1973-04-06,6.0,
2002,NE,FB,Marc Edwards,1974-11-17,5.0,
2002,MIA,RB,Robert Edwards,1974-10-02,4.0,
2002,SL,WR,Troy Edwards,1977-04-07,3.0,
2002,DAL,DE,Ebenezer Ekuban,1976-05-29,3.0,
2002,DEN,K,Jason Elam,1970-03-08,9.0,
2002,NYJ,T,John Elliott,1965-04-01,14.0,
2002,SD,T,Ed Ellis,1975-10-13,5.0,
2002,DAL,DE,Greg Ellis,1975-08-14,4.0,
2002,DET,DT,Luther Elliss,1973-03-22,7.0,
2002,PHI,OLB,Carlos Emmons,1973-09-03,6.0,
2002,SEA,WR,Bobby Engram,1973-01-07,6.0,
2002,SEA,CB,Doug Evans,1970-05-13,9.0,
2002,NYJ,DT,Josh Evans,1972-09-06,7.0,
2002,NYJ,T,Jason Fabini,1974-08-25,4.0,
2002,CAR,CB,Terry Fair,1976-07-20,4.0,
2002,PIT,G,Alan Faneca,1976-12-07,4.0,
2002,PIT,ILB,James Farrior,1975-01-06,5.0,
2002,NE,RB,Kevin Faulk,1976-06-05,3.0,
2002,SL,RB,Marshall Faulk,1973-02-26,8.0,
2002,NE,TE,Christian Fauria,1971-09-22,7.0,
2002,BUF,OLB,Greg Favors,1974-09-30,4.0,
2002,GB,QB,Brett Favre,1969-10-10,11.0,
2002,SEA,P,Jeff Feagles,1966-03-07,14.0,
2002,NYJ,NT,Jason Ferguson,1974-11-28,5.0,
2002,NYJ,SS,Nick Ferguson,1974-11-27,6.0,
2002,NYG,DE,Frank Ferrara,1975-12-07,3.0,
2002,PIT,ILB,John Fiala,1973-11-25,5.0,
2002,MIA,QB,Jay Fiedler,1971-12-29,8.0,
2002,CAR,OLB,Mark Fields,1972-11-09,7.0,
2002,ARZ,T,John Fina,1969-03-11,10.0,
2002,IND,FB,Jim Finn,1976-12-09,3.0,
2002,ATL,WR,Brian Finneran,1976-01-31,4.0,
2002,SF,G,Dave Fiore,1974-08-10,6.0,
2002,SL,DE,Bryce Fisher,1977-05-12,3.0,
2002,SD,DT,Jason Fisk,1972-09-04,7.0,
2002,GB,C,Mike Flanagan,1973-11-10,6.0,
2002,SF,DT,Jim Flanigan,1971-08-27,8.0,
2002,CAR,G,Derrick Fletcher,1975-09-09,3.0,
2002,BUF,MLB,London Fletcher,1975-05-19,4.0,
2002,SD,RB,Terrell Fletcher,1973-09-14,7.0,
2002,PIT,SS,Lethon Flowers,1973-01-14,7.0,
2002,SD,QB,Doug Flutie,1962-10-23,17.0,
2002,BLT,C,Mike Flynn,1974-06-15,5.0,
2002,NO,T,Spencer Folau,1973-04-05,6.0,
2002,NO,C,Jerry Fontenot,1966-11-21,13.0,
2002,TEN,DT,Henry Ford,1971-10-30,8.0,
2002,JAX,T,Todd Fordham,1973-10-09,5.0,
2002,HST,ILB,Jay Foreman,1976-02-18,3.0,
2002,ARZ,OLB,Rob Fredrickson,1971-05-13,8.0,
2002,PHI,WR,Antonio Freeman,1972-05-27,7.0,
2002,CIN,QB,Gus Frerotte,1971-07-31,8.0,
2002,DEN,G,Lennie Friedman,1976-10-13,3.0,
2002,PIT,RB,Chris Fuamatu-Ma'afala,1977-03-04,4.0,
2002,CLV,CB,Corey Fuller,1971-05-01,7.0,
2002,MIA,WR,Oronde Gadsden,1971-08-20,7.0,
2002,DAL,WR,Joey Galloway,1971-11-20,7.0,
2002,MIA,OLB,Scott Galyon,1974-03-23,6.0,
2002,KC,TE,Kendall Gammon,1968-10-23,10.0,
2002,PIT,T,Wayne Gandy,1971-02-10,8.0,
2002,OAK,QB,Rich Gannon,1965-12-20,15.0,
2002,SL,C,Frank Garcia,1972-01-28,7.0,
2002,SF,QB,Jeff Garcia,1970-02-24,3.0,
2002,WAS,DT,Daryl Gardener,1973-02-25,6.0,
2002,PHI,MLB,Barry Gardner,1976-12-13,3.0,
2002,CLV,P,Chris Gardocki,1970-02-07,11.0,
2002,SD,G,Kelvin Garmon,1976-10-26,3.0,
2002,OAK,RB,Charlie Garner,1972-02-13,8.0,
2002,NYJ,SS,Sam Garnes,1974-07-12,5.0,
2002,NYG,QB,Jason Garrett,1966-03-28,13.0,
2002,DEN,RB,Olandis Gary,1975-05-18,3.0,
2002,BLT,FB,Sam Gash,1969-03-07,10.0,
2002,BUF,TE,Cory Geason,1975-08-12,4.0,
2002,TEN,RB,Eddie George,1973-09-24,6.0,
2002,SEA,QB,Jeff George,1967-12-08,12.0,
2002,CIN,QB,Joe Germaine,1975-11-16,3.0,
2002,CHI,T,Aaron Gibson,1977-09-27,3.0,
2002,ATL,WR,Damon Gibson,1975-02-25,4.0,
2002,CIN,DT,Oliver Gibson,1972-03-15,7.0,
2002,CAR,DT,Sean Gilbert,1970-04-10,10.0,
2002,PIT,OLB,Jason Gildon,1972-07-31,8.0,
2002,HST,CB,Aaron Glenn,1972-07-16,8.0,
2002,IND,T,Tarik Glenn,1976-05-25,5.0,
2002,GB,WR,Terry Glenn,1974-07-23,6.0,
2002,DAL,DT,La'Roi Glover,1974-07-04,6.0,
2002,TEN,MLB,Randall Godfrey,1973-04-06,6.0,
2002,CIN,G,Mike Goff,1976-01-06,4.0,
2002,KC,TE,Tony Gonzalez,1976-02-27,5.0,
2002,DET,OLB,Jeff Gooch,1974-10-31,6.0,
2002,MIN,TE,Hunter Goodwin,1972-10-10,6.0,
2002,GB,CB,Darrien Gordon,1970-11-14,9.0,
2002,NO,P,Toby Gowin,1975-03-30,5.0,
2002,SF,T,Scott Gragg,1972-02-28,7.0,
2002,TEN,C,Aaron Graham,1973-05-22,6.0,
2002,HST,G,DeMingo Graham,1973-09-10,4.0,
2002,GB,RB,Jay Graham,1975-07-14,5.0,
2002,JAX,QB,Kent Graham,1968-11-01,10.0,
2002,TB,K,Martin Gramatica,1975-11-27,3.0,
2002,PHI,DT,Paul Grasmanis,1974-08-02,6.0,
2002,SEA,G,Chris Gray,1970-06-19,9.0,
2002,GB,RB,Ahman Green,1977-02-16,4.0,
2002,WAS,CB,Darrell Green,1960-02-15,19.0,
2002,WAS,WR,Jacquez Green,1976-01-15,4.0,
2002,KC,QB,Trent Green,1970-07-09,9.0,
2002,NE,SS,Victor Green,1969-12-08,9.0,
2002,DET,CB,Donovan Greer,1974-09-11,5.0,
2002,BLT,NT,Kelly Gregg,1976-11-01,3.0,
2002,DEN,QB,Brian Griese,1975-03-18,4.0,
2002,CLV,SS,Robert Griffith,1970-11-30,8.0,
2002,ARZ,C,Mike Gruttadauria,1972-12-06,7.0,
2002,CIN,C,Brock Gutierrez,1973-09-25,6.0,
2002,DET,WR,Az-Zahir Hakim,1977-06-03,4.0,
2002,MIA,DT,Jermaine Haley,1973-02-13,3.0,
2002,CIN,SS,Cory Hall,1976-12-05,3.0,
2002,NYJ,K,John Hall,1974-03-17,5.0,
2002,NO,TE,Lamont Hall,1974-11-16,4.0,
2002,MIN,OLB,Lemanski Hall,1970-11-24,8.0,
2002,ATL,DE,Travis Hall,1972-08-03,7.0,
2002,SD,G,Bob Hallen,1975-03-09,4.0,
2002,CLV,OLB,Darren Hambrick,1975-08-30,4.0,
2002,NE,DE,Bobby Hamilton,1971-07-01,8.0,
2002,NYG,DT,Keith Hamilton,1971-05-25,10.0,
2002,NO,DT,Norman Hand,1972-09-04,7.0,
2002,CAR,WR,Karl Hankton,1970-07-24,5.0,
2002,JAX,P,Chris Hanson,1976-10-25,3.0,
2002,DET,K,Jason Hanson,1970-06-17,10.0,
2002,DEN,TE,Patrick Hape,1974-06-06,5.0,
2002,DAL,OLB,Kevin Hardy,1973-07-24,6.0,
2002,PHI,CB,Al Harris,1974-12-07,5.0,
2002,BLT,ILB,Bernardo Harris,1971-10-15,8.0,
2002,DET,SS,Corey Harris,1969-10-25,10.0,
2002,NYG,FS,Johnnie Harris,1972-08-21,5.0,
2002,IND,CB,Walt Harris,1974-08-10,6.0,
2002,IND,WR,Marvin Harrison,1972-08-25,6.0,
2002,SD,SS,Rodney Harrison,1972-12-15,8.0,
2002,PIT,C,Jeff Hartings,1972-09-07,6.0,
2002,SEA,QB,Matt Hasselbeck,1975-09-25,4.0,Boston College
2002,SF,SS,Tim Hauck,1966-12-20,12.0,
2002,CIN,CB,Artrell Hawkins,1976-11-24,4.0,
2002,NE,FS,Chris Hayes,1972-05-07,6.0,
2002,NE,WR,Donald Hayes,1975-07-13,4.0,
2002,SF,RB,Garrison Hearst,1971-01-04,9.0,
2002,ATL,CB,Rodney Heath,1974-10-29,3.0,
2002,CLV,TE,Steve Heiden,1976-09-21,3.0,
2002,GB,FB,William Henderson,1971-02-19,7.0,
2002,TEN,P,Craig Hentrich,1971-05-18,9.0,
2002,HST,T,Jimmy Herndon,1973-08-30,6.0,
2002,DEN,CB,Kelly Herndon,1976-11-03,3.0,
2002,SL,FS,Kim Herring,1975-09-10,5.0,
2002,SL,FB,Chris Hetherington,1972-11-27,6.0,
2002,KC,DE,Eric Hicks,1976-06-17,4.0,
2002,CAR,RB,Skip Hicks,1974-10-13,4.0,
2002,OAK,RB,Madre Hill,1976-01-02,3.0,
2002,NYG,WR,Ike Hilliard,1976-04-05,5.0,
2002,NE,CB,Jimmy Hitchcock,1970-11-09,7.0,
2002,KC,DT,Nate Hobgood-Chittick,1974-11-30,4.0,
2002,SL,FB,James Hodgins,1977-04-30,3.0,
2002,CLV,QB,Kelly Holcomb,1973-07-09,7.0,
2002,TEN,RB,Robert Holcombe,1975-12-11,4.0,
2002,CHI,OLB,Warrick Holdman,1975-11-22,3.0,
2002,ATL,MLB,John Holecek,1972-05-07,7.0,
2002,MIN,NT,Darius Holland,1973-11-10,7.0,
2002,GB,DE,Vonnie Holliday,1975-12-11,4.0,
2002,BUF,K,Mike Hollis,1972-05-22,8.0,
2002,CLV,MLB,Earl Holmes,1973-04-28,6.0,
2002,NYG,DE,Kenny Holmes,1973-10-24,5.0,
2002,KC,RB,Priest Holmes,1973-10-07,5.0,
2002,NE,DT,Bernard Holsey,1973-10-10,6.0,
2002,SL,WR,Torry Holt,1976-06-05,3.0,
2002,TEN,T,Brad Hopkins,1970-09-05,9.0,
2002,DET,G,Tyrone Hopson,1976-05-28,3.0,
2002,NO,WR,Joe Horn,1972-01-16,6.0,
2002,CHI,MLB,Bobbie Howard,1977-06-14,3.0,
2002,DET,WR,Desmond Howard,1970-05-15,10.0,
2002,IND,QB,Brock Huard,1976-04-15,3.0,
2002,NE,QB,Damon Huard,1973-07-09,6.0,
2002,GB,DT,Cletidus Hunt,1976-01-02,3.0,
2002,DET,RB,Richard Huntley,1972-09-18,6.0,
2002,KC,K,Michael Husted,1970-06-16,9.0,
2002,NO,CB,Ken Irvin,1972-07-11,7.0,
2002,SL,G,Heath Irwin,1973-06-27,6.0,
2002,IND,WR,Qadry Ismail,1970-11-08,9.0,
2002,NE,MLB,Larry Izzo,1974-09-26,6.0,
2002,CAR,OLB,Brad Jackson,1975-01-11,4.0,
2002,GB,WR,Chris Jackson,1975-02-26,4.0,
2002,TB,FS,Dexter Jackson,1977-07-28,3.0,
2002,NO,DT,Grady Jackson,1973-01-21,5.0,
2002,PIT,WR,Lenzie Jackson,1977-06-17,3.0,
2002,SF,FB,Terry Jackson,1976-01-10,3.0,
2002,SL,DE,Tyoka Jackson,1971-11-22,8.0,
2002,IND,T,Waverly Jackson,1972-12-19,5.0,
2002,ATL,WR,Willie Jackson,1971-08-16,8.0,
2002,NO,G,Kendyl Jacox,1975-06-10,4.0,
2002,CAR,WR,Nate Jacquet,1975-09-02,5.0,
2002,IND,RB,Edgerrin James,1978-08-01,3.0,
2002,OAK,CB,Tory James,1973-05-18,6.0,
2002,WAS,T,Jon Jansen,1976-01-28,3.0,
2002,ATL,NT,Edward Jasper,1973-01-18,5.0,
2002,ATL,WR,Shawn Jefferson,1969-02-22,11.0,
2002,BUF,SS,Billy Jenkins,1974-07-08,5.0,
2002,TB,G,Kerry Jenkins,1973-09-06,5.0,
2002,ARZ,WR,MarTay Jenkins,1975-02-28,3.0,
2002,ATL,RB,Travis Jervey,1972-05-05,7.0,
2002,OAK,WR,James Jett,1970-12-28,9.0,
2002,DET,P,John Jett,1968-11-11,10.0,
2002,TB,QB,Brad Johnson,1968-09-13,10.0,
2002,BUF,WR,Charles Johnson,1972-01-03,8.0,
2002,NO,P,Dirk Johnson,1975-06-01,4.0,
2002,ATL,NT,Ellis Johnson,1973-10-30,7.0,
2002,SF,DT,Garrett Johnson,1975-12-31,3.0,
2002,GB,DE,Joe Johnson,1972-07-11,8.0,
2002,CLV,WR,Kevin Johnson,1976-07-15,3.0,
